앱ID,사이트주소,앱이름,리뷰 ,점수,다운로드,앱정보,업데이트 날짜
1,https://play.google.com/store/apps/details?id=com.emmental.bznav.mobile&hl=ko,비즈넵 - 모든 사장님을 위한 AI세무관리 서비스,3.76천개,4.7,10만,"실시간 AI 문답으로 사장님의 세무/노무/법률 고민 끝
특화된 세무 AI 전문가 비즈넵 세나가 세무, 노무, 법률 등 사장님만의 궁금증과 고민을 365일 24시간 실시간으로 답변해드려요",2024. 12. 9.
2,https://play.google.com/store/apps/details?id=com.taxbyapp.taxby&hl=ko,나만의 세무비서 택스비 ? 개인사업자 세금 신고 필수앱,93,4.3,1만,"사장님들! 단 돈 1만원으로 원터치 세금신고, 자동장부, 재무리포트 알림톡, 전담 세무사 세무상담 등 사업에 필요한 모든 서비스를 간단하게 이용해 보세요.",2025. 3. 13.
3,https://play.google.com/store/apps/details?id=com.kicc.easyshop.autobooks&hl=ko,"이지샵 - 사업관리, 세무신고",1.72천개,4.4,10만,"이지샵 기능1. 세무비용 90% 절약 - 셀프세무신고
- 다양한 거래내역을 수집하여 자동으로 장부가 작성되는 자동장부 기능 제공
- 부가가치세, 원천세, 종합소득세 등 필수 세금 셀프로 신고하는 기능 제공",2024. 7. 9.
4,https://play.google.com/store/apps/details?id=com.findsemu.app.android.user&hl=ko,"찾아줘 세무사 노무사-전문가 플랫폼, 세무 상담
(주)세무사를 찾는 사람들",423개,4.5,10만,"*국내1위,국내최대 전국700여명 세무사노무사수수료 비교 유일한 플랫폼

* 2만명이상의 세무사님을 알아보는데 일일이 발품 팔수도 없는 현실을 반영해서 만들었습니다.

*종합소득세 계산기 부가세 계산기, 양도세 계산기 등 2021년 최신세법을 반영해 만들었습니다.",2024. 10. 21.
5,https://play.google.com/store/apps/details?id=com.seduri.mobile&hl=ko,"세무의달인- 세무사 비교 견적 서비스
하이테크",710개,4.5,1만,"간편한 세무사 비교 견적 서비스를 제공하는 착한 세무앱 세무의달인입니다.

■ 사장님! 세무 비용 견적 받고 나에게 맞는 세무사로 선택하세요.■",2024. 8. 26.
6,https://play.google.com/store/apps/details?id=com.semutong.mobile&hl=ko,"세무사가 필요할 땐, 세무통 - 세금환급
Semutong",738개,4.2,10만,"환급/절세를 위한 무료 세무사 플랫폼
이제 더이상 기다리실 필요 없습니다.

■ 5월 세금 환급액을 카카오톡으로 1분만에 확인하고, 세무사 통해서 최대환급 받으세요!",2024. 9. 24.
7,https://play.google.com/store/apps/details?id=cashnote.com.albatross&hl=ko,"캐시노트 - 사장님 필수앱
Korea Credit Data",6.21만개,4.5,100만,"[사장님을 위한 경영관리 서비스, 캐시노트]
“사장님의 사업의 모든 순간을 캐시노트로 더 쉽게, 더 빠르게, 더 똑똑하게”

모바일 앱과 카카오톡으로 가게 관리에 필요한 다양한 정보를 즉시 받아볼 수 있습니다.",2025. 3. 23.
9,https://play.google.com/store/apps/details?id=kr.co.taxnet.taxDiary&hl=ko,"세무 다이어리 2024
JoseTongRam",21개,4.7,5천,"㈜조세통람의 택스넷 세무 다이어리 어플리케이션은 깔끔한 표형식의 주요세법개요를 수록하고 있으며 1년간의 세무 스케줄 및 조견표 등을 간편하고 효율적으로 활용할 수 있게 만들어진 어플리케이션입니다.

* 주요 수록 내용
- 2024년 월별 세무일정
- 과세범위 및 세율",2024. 9. 3.
9,https://play.google.com/store/apps/details?id=com.nullee.ssem&hl=ko,"쌤157 - 모두가 최저세금으로
널리소프트",9.51천개,4.8,100만,"? 매년 157월 부가세, 종합소득세를 간편하게
1) 누구나 손쉽게 3분이면 세금 신고를 할 수 있습니다.
2) 똑똑한 AI 알고리즘이 업종과 연령별 절세 혜택까지 알아서 계산해줍니다.
3) 알고리즘 계산 비용은 무료입니다.",2025. 3. 10.
10,https://play.google.com/store/apps/details?id=co.jobis.szs&hl=ko,삼쩜삼 - 세금 신고/환급 도우미,4.37만개,4.4,500만,"누적 가입자 2000만 명이 선택한 서비스!
종합소득세/부가가치세 신고 도움을 제공하는 삼쩜삼에서
쉽고 편리하게 세금 신고하고 숨어있는 돈 1원까지 찾아드려요.
",2025. 3. 21.
